,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
0,Tiki Barber,NYG,RB,79,52,578,11.1,2,20,3.3,36.1,65.8%,7.3,322,1518,13,82,4.7,94.9,20.1,374,5.6,2096,15,5
1,Edgerrin James,IND,RB,60,51,483,9.5,0,20,3.2,30.2,85.0%,8.1,334,1548,9,78,4.6,96.8,20.9,385,5.3,2031,9,6
2,Curtis Martin,NYJ,RB,49,41,245,6.0,2,12,2.6,15.3,83.7%,5.0,371,1697,12,93,4.6,106.1,23.2,412,4.7,1942,14,2
3,Shaun Alexander,SEA,RB,38,23,170,7.4,4,9,1.4,10.6,60.5%,4.5,353,1696,16,78,4.8,106.0,22.1,376,5.0,1866,20,5
4,LaDainian Tomlinson,SDG,RB,66,53,441,8.3,1,16,3.5,29.4,80.3%,6.7,339,1335,17,74,3.9,89.0,22.6,392,4.5,1776,18,6
5,Domanick Williams,HOU,RB,84,68,588,8.6,1,27,4.5,39.2,81.0%,7.0,302,1188,13,57,3.9,79.2,20.1,370,4.8,1776,14,4
6,Corey Dillon,NWE,RB,21,15,103,6.9,1,3,1.0,6.9,71.4%,4.9,345,1635,12,84,4.7,109.0,23.0,360,4.8,1738,13,5
7,Fred Taylor,JAX,RB,58,36,345,9.6,1,18,2.6,24.6,62.1%,5.9,260,1224,2,49,4.7,87.4,18.6,296,5.3,1569,3,3
8,Clinton Portis,WAS,RB,57,40,235,5.9,2,10,2.7,15.7,70.2%,4.1,343,1315,5,67,3.8,87.7,22.9,383,4.0,1550,7,5
9,Rudi Johnson,CIN,RB,28,15,84,5.6,0,2,0.9,5.3,53.6%,3.0,361,1454,12,74,4.0,90.9,22.6,376,4.1,1538,12,4
10,Brian Westbrook,PHI,RB,87,73,703,9.6,6,30,5.6,54.1,83.9%,8.1,177,812,3,41,4.6,62.5,13.6,250,6.1,1515,9,1
11,Reuben Droughns,DEN,RB,44,32,241,7.5,2,14,2.0,15.1,72.7%,5.5,275,1240,6,72,4.5,77.5,17.2,307,4.8,1481,8,5
12,Ahman Green,GNB,RB,51,40,275,6.9,1,18,2.7,18.3,78.4%,5.4,259,1163,7,58,4.5,77.5,17.3,299,4.8,1438,8,7
13,Muhsin Muhammad,CAR,WR,160,93,1405,15.1,16,74,5.8,87.8,58.1%,8.8,3,15,0,1,5.0,0.9,0.2,96,14.8,1420,16,3
14,Warrick Dunn,ATL,RB,39,29,294,10.1,0,9,1.8,18.4,74.4%,7.5,265,1106,9,47,4.2,69.1,16.6,294,4.8,1400,9,3
15,Joe Horn,NOR,WR,153,94,1399,14.9,11,73,5.9,87.4,61.4%,9.1,,,,0,,,,94,14.9,1399,11,0
16,Javon Walker,GNB,WR,144,89,1382,15.5,12,63,5.6,86.4,61.8%,9.6,,,,0,,,,89,15.5,1382,12,2
17,Thomas Jones,CHI,RB,72,56,427,7.6,0,17,4.0,30.5,77.8%,5.9,240,948,7,49,4.0,67.7,17.1,296,4.6,1375,7,2
18,Torry Holt,STL,WR,135,94,1372,14.6,10,59,5.9,85.8,69.6%,10.2,,,,0,,,,94,14.6,1372,10,3
19,Michael Pittman,TAM,RB,65,41,391,9.5,3,13,3.2,30.1,63.1%,6.0,219,926,7,41,4.2,71.2,16.8,260,5.1,1317,10,6
20,Chad Johnson,CIN,WR,170,95,1274,13.4,9,63,5.9,79.6,55.9%,7.5,4,39,0,1,9.8,2.4,0.3,99,13.3,1313,9,1
21,Kevin Jones,DET,RB,41,28,180,6.4,1,8,1.9,12.0,68.3%,4.4,241,1133,5,59,4.7,75.5,16.1,269,4.9,1313,6,2
22,Deuce McAllister,NOR,RB,48,34,228,6.7,0,5,2.4,16.3,70.8%,4.8,269,1074,9,54,4.0,76.7,19.2,303,4.3,1302,9,5
23,Willis McGahee,BUF,RB,36,22,169,7.7,0,8,1.4,10.6,61.1%,4.7,284,1128,13,65,4.0,70.5,17.8,306,4.2,1297,13,4
24,Isaac Bruce,STL,WR,148,89,1292,14.5,6,64,5.6,80.8,60.1%,8.7,,,,0,,,,89,14.5,1292,6,5
25,Tony Gonzalez,KAN,TE,148,102,1258,12.3,7,70,6.4,78.6,68.9%,8.5,1,5,0,0,5.0,0.3,0.1,103,12.3,1263,7,0
26,Drew Bennett,TEN,WR,144,80,1247,15.6,11,62,5.0,77.9,55.6%,8.7,1,12,0,1,12.0,0.8,0.1,81,15.5,1259,11,3
27,Michael Clayton,TAM,WR,122,80,1193,14.9,7,56,5.0,74.6,65.6%,9.8,5,30,0,3,6.0,1.9,0.3,85,14.4,1223,7,1
28,Nick Goings,CAR,RB,61,45,394,8.8,1,17,2.8,24.6,73.8%,6.5,217,821,6,42,3.8,51.3,13.6,262,4.6,1215,7,1
29,Chris Brown,TEN,RB,33,20,147,7.4,0,6,1.8,13.4,60.6%,4.5,220,1067,6,40,4.9,97.0,20.0,240,5.1,1214,6,6
30,Donald Driver,GNB,WR,137,84,1208,14.4,9,61,5.3,75.5,61.3%,8.8,3,4,0,0,1.3,0.3,0.2,87,13.9,1212,9,2
31,Reggie Wayne,IND,WR,115,77,1210,15.7,12,59,4.8,75.6,67.0%,10.5,1,-4,0,0,-4.0,-0.3,0.1,78,15.5,1206,12,0
32,Darrell Jackson,SEA,WR,156,87,1199,13.8,7,59,5.4,74.9,55.8%,7.7,,,,0,,,,87,13.8,1199,7,2
33,Terrell Owens,PHI,WR,127,77,1200,15.6,14,51,5.5,85.7,60.6%,9.4,3,-5,0,1,-1.7,-0.4,0.2,80,14.9,1195,14,2
34,Rod Smith,DEN,WR,136,79,1144,14.5,7,52,4.9,71.5,58.1%,8.4,5,33,0,2,6.6,2.1,0.3,84,14.0,1177,7,4
35,Jimmy Smith,JAX,WR,137,74,1172,15.8,6,52,4.6,73.3,54.0%,8.6,,,,0,,,,74,15.8,1172,6,2
36,Derrick Mason,TEN,WR,158,96,1168,12.2,7,67,6.0,73.0,60.8%,7.4,1,-3,0,0,-3.0,-0.2,0.1,97,12.0,1165,7,2
37,Andre Johnson,HOU,WR,138,79,1142,14.5,6,53,4.9,71.4,57.2%,8.3,4,12,0,2,3.0,0.8,0.3,83,13.9,1154,6,1
38,Jamal Lewis,BAL,RB,12,10,116,11.6,0,5,0.8,9.7,83.3%,9.7,235,1006,7,51,4.3,83.8,19.6,245,4.6,1122,7,2
39,Marvin Harrison,IND,WR,139,86,1113,12.9,15,63,5.4,69.6,61.9%,8.0,,,,0,,,,86,12.9,1113,15,1
40,Eddie Kennison,KAN,WR,106,62,1086,17.5,8,47,4.4,77.6,58.5%,10.2,2,15,0,1,7.5,1.1,0.1,64,17.2,1101,8,1
41,Ashley Lelie,DEN,WR,101,54,1084,20.1,7,40,3.4,67.8,53.5%,10.7,3,5,0,0,1.7,0.3,0.2,57,19.1,1089,7,0
42,Marshall Faulk,STL,RB,65,50,310,6.2,1,12,3.6,22.1,76.9%,4.8,195,774,3,46,4.0,55.3,13.9,245,4.4,1084,4,2
43,Priest Holmes,KAN,RB,25,19,187,9.8,1,8,2.4,23.4,76.0%,7.5,196,892,14,59,4.6,111.5,24.5,215,5.0,1079,15,4
44,Brandon Stokley,IND,,102,68,1077,15.8,10,54,4.3,67.3,66.7%,10.6,,,,0,,,,68,15.8,1077,10,1
45,Eric Moulds,BUF,WR,152,88,1043,11.9,5,53,5.5,65.2,57.9%,6.9,5,19,0,1,3.8,1.2,0.3,93,11.4,1062,5,1
46,Nate Burleson,MIN,WR,102,68,1006,14.8,9,50,4.3,62.9,66.7%,9.9,6,49,0,4,8.2,3.1,0.4,74,14.3,1055,9,1
47,Emmitt Smith,ARI,RB,20,15,105,7.0,0,3,1.0,7.0,75.0%,5.3,267,937,9,43,3.5,62.5,17.8,282,3.7,1042,9,4
48,Kevan Barlow,SFO,RB,45,35,212,6.1,0,12,2.3,14.1,77.8%,4.7,244,822,7,45,3.4,54.8,16.3,279,3.7,1034,7,2
49,T.J. Houshmandzadeh,CIN,WR,108,73,978,13.4,4,48,4.6,61.1,67.6%,9.1,6,51,0,2,8.5,3.2,0.4,79,13.0,1029,4,0
50,Hines Ward,PIT,WR,108,80,1004,12.6,4,52,5.0,62.8,74.1%,9.3,7,25,1,2,3.6,1.6,0.4,87,11.8,1029,5,1
51,Keyshawn Johnson,DAL,WR,124,70,981,14.0,6,53,4.4,61.3,56.5%,7.9,2,13,0,1,6.5,0.8,0.1,72,13.8,994,6,1
52,Jerry Porter,OAK,WR,136,64,998,15.6,9,47,4.0,62.4,47.1%,7.3,1,-4,0,0,-4.0,-0.3,0.1,65,15.3,994,9,2
53,Jerome Bettis,PIT,RB,8,6,46,7.7,0,2,0.4,3.1,75.0%,5.8,250,941,13,50,3.8,62.7,16.7,256,3.9,987,13,1
54,Jason Witten,DAL,TE,122,87,980,11.3,6,45,5.4,61.3,71.3%,8.0,,,,0,,,,87,11.3,980,6,2
55,Chris Chambers,MIA,WR,140,69,898,13.0,7,44,4.6,59.9,49.3%,6.4,9,76,0,4,8.4,5.1,0.6,78,12.5,974,7,1
56,Antonio Gates,SDG,TE,114,81,964,11.9,13,55,5.4,64.3,71.1%,8.5,,,,0,,,,81,11.9,964,13,0
57,Laveranues Coles,WAS,WR,168,90,950,10.6,1,52,5.6,59.4,53.6%,5.7,3,-3,0,2,-1.0,-0.2,0.2,93,10.2,947,1,1
58,Onterrio Smith,MIN,rb,45,36,394,10.9,2,22,3.3,35.8,80.0%,8.8,124,544,2,18,4.4,49.5,11.3,160,5.9,938,4,2
