,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,Sebastian Janikowski,OAK,,,,8,8,14,13,12,8,7,4,41,33,80.5%,43,43,100.0%,93,6007,29,31.2%,64.6,1,33,33.0
1,Dan Carpenter,MIA,,1,1,9,9,5,5,18,11,8,4,41,30,73.2%,25,25,100.0%,70,4470,14,20.0%,63.9,,,
2,Josh Brown,STL,,,,12,11,14,12,9,7,4,3,39,33,84.6%,27,26,96.3%,,,,,,,,
3,Nick Folk,NYJ,,1,1,11,10,16,14,6,3,5,2,39,30,76.9%,37,37,100.0%,81,4986,7,8.6%,61.6,,,
4,David Akers,PHI,,,,12,12,11,9,12,10,3,1,38,32,84.2%,47,47,100.0%,96,6135,23,24.0%,63.9,,,
5,Graham Gano,WAS,,1,1,10,8,7,4,14,11,3,,35,24,68.6%,28,28,100.0%,71,4617,9,12.7%,65.0,4,141,35.3
6,David Buehler,DAL,,,,8,8,7,4,11,8,6,4,32,24,75.0%,44,42,95.5%,84,5409,22,26.2%,64.4,,,
7,Jeff Reed,2TM,,2,2,10,9,9,8,7,3,4,2,32,24,75.0%,32,32,100.0%,71,4341,6,8.5%,61.1,,,
8,Matt Bryant,ATL,,,,11,11,9,8,10,8,1,1,31,28,90.3%,44,44,100.0%,,,,,,,,
9,Robbie Gould,CHI,,1,1,9,9,9,8,7,4,4,3,30,25,83.3%,35,35,100.0%,77,4890,16,20.8%,63.5,,,
10,Olindo Mare,SEA,,2,2,12,10,7,7,7,5,2,1,30,25,83.3%,31,31,100.0%,72,4679,20,27.8%,65.0,,,
11,Neil Rackers,HOU,,,,8,8,11,11,7,5,4,3,30,27,90.0%,43,43,100.0%,86,5658,13,15.1%,65.8,,,
12,Billy Cundiff,BAL,,,,11,11,9,8,8,7,1,,29,26,89.7%,39,39,100.0%,79,5399,40,50.6%,68.3,,,
13,John Kasay,CAR,,,,9,9,2,2,14,11,4,3,29,25,86.2%,17,17,100.0%,4,228,,,57.0,,,
14,Connor Barth,TAM,,,,6,6,10,10,10,6,2,1,28,23,82.1%,36,36,100.0%,78,4809,1,1.3%,61.7,1,33,33.0
