,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
0,Dak Prescott,DAL,qb,137,201,68.2,1690,9,4.5,3,1.5,83,8.4,8.6,12.3,422.5,102.6,9,59,7.77,7.98,4.3,1,1
1,Joe Burrow,CIN,qb,116,177,65.5,1121,6,3.4,2,1.1,68,6.3,6.5,9.7,280.3,89.7,15,107,5.28,5.44,7.8,,
2,Matt Ryan,ATL,qb,108,167,64.7,1246,7,4.2,2,1.2,66,7.5,7.8,11.5,311.5,96.0,9,69,6.69,6.97,5.1,,
3,Carson Wentz,PHI,qb,97,160,60.6,930,4,2.5,7,4.4,46,5.8,4.3,9.6,232.5,66.9,14,100,4.77,3.42,8.0,2,1
4,Tom Brady,TAM,qb,101,155,65.2,1122,11,7.1,4,2.6,53,7.2,7.5,11.1,280.5,99.4,5,27,6.84,7.09,3.1,1,1
5,Patrick Mahomes,KAN,qb,101,150,67.3,1134,11,7.3,0,0.0,65,7.6,9.0,11.2,283.5,114.1,3,28,7.23,8.67,2.0,1,1
6,Daniel Jones,NYG,qb,91,149,61.1,889,2,1.3,5,3.4,50,6.0,4.7,9.8,222.3,68.3,14,83,4.94,3.81,8.6,,
7,Josh Allen,BUF,qb,105,148,70.9,1326,12,8.1,1,0.7,60,9.0,10.3,12.6,331.5,122.7,9,61,8.06,9.30,5.7,2,2
8,Gardner Minshew II,JAX,qb,106,147,72.1,1138,8,5.4,4,2.7,61,7.7,7.6,10.7,284.5,101.2,13,87,6.57,6.44,8.1,1,1
9,Dwayne Haskins,WAS,qb,89,146,61.0,939,4,2.7,3,2.1,50,6.4,6.1,10.6,234.8,80.3,13,101,5.27,4.92,8.2,1,1
10,Derek Carr,LVR,qb,106,144,73.6,1095,8,5.6,0,0.0,58,7.6,8.7,10.3,273.8,113.6,7,49,6.93,7.99,4.6,1,1
11,Kyler Murray,ARI,qb,99,144,68.8,919,7,4.9,5,3.5,52,6.4,5.8,9.3,229.8,87.7,7,16,5.98,5.42,4.6,1,1
12,Ryan Fitzpatrick,MIA,qb,98,142,69.0,994,4,2.8,5,3.5,57,7.0,6.0,10.1,248.5,83.5,6,33,6.49,5.51,4.1,,
13,Teddy Bridgewater,CAR,qb,103,141,73.0,1147,4,2.8,3,2.1,58,8.1,7.7,11.1,286.8,97.4,8,51,7.36,6.99,5.4,,
14,Aaron Rodgers,GNB,qb,98,139,70.5,1214,13,9.4,0,0.0,61,8.7,10.6,12.4,303.5,128.4,3,35,8.30,10.13,2.1,0,1
15,Sam Darnold,NYJ,qb,82,138,59.4,792,3,2.2,4,2.9,36,5.7,4.9,9.7,198.0,70.7,12,90,4.68,3.88,8.0,,
16,Matthew Stafford,DET,qb,83,137,60.6,1017,8,5.8,3,2.2,52,7.4,7.6,12.3,254.3,93.8,12,88,6.23,6.40,8.1,1,1
17,Russell Wilson,SEA,qb,103,137,75.2,1285,16,11.7,2,1.5,58,9.4,11.1,12.5,321.3,136.7,11,73,8.19,9.74,7.4,1,1
18,Drew Brees,NOR,qb,92,129,71.3,1006,8,6.2,2,1.6,55,7.8,8.3,10.9,251.5,108.2,5,40,7.21,7.73,3.7,,
19,Deshaun Watson,HOU,qb,84,128,65.6,1092,6,4.7,3,2.3,52,8.5,8.4,13.0,273.0,98.2,16,76,7.06,6.95,11.1,,
20,Jared Goff,LAR,qb,88,122,72.1,1063,6,4.9,2,1.6,52,8.7,9.0,12.1,265.8,108.1,6,43,7.97,8.20,4.7,,
21,Philip Rivers,IND,qb,88,121,72.7,984,4,3.3,3,2.5,49,8.1,7.7,11.2,246.0,97.3,3,15,7.81,7.37,2.4,,
22,Baker Mayfield,CLE,qb,72,115,62.6,729,7,6.1,2,1.7,44,6.3,6.8,10.1,182.3,93.7,6,36,5.73,6.14,5.0,1,1
23,Ben Roethlisberger,PIT,qb,73,109,67.0,777,7,6.4,1,0.9,42,7.1,8.0,10.6,259.0,105.2,5,50,6.38,7.21,4.4,1,1
24,Justin Herbert,LAC,qb,77,107,72.0,931,5,4.7,3,2.8,41,8.7,8.4,12.1,310.3,102.2,6,38,7.90,7.59,5.3,,
25,Ryan Tannehill,TEN,qb,70,104,67.3,809,6,5.8,1,1.0,42,7.8,8.5,11.6,269.7,105.8,3,21,7.36,8.07,2.8,2,3
26,Kirk Cousins,MIN,qb,62,100,62.0,883,6,6.0,6,6.0,38,8.8,7.3,14.2,220.8,85.5,10,54,7.54,6.17,9.1,,
27,Lamar Jackson,BAL,qb,67,98,68.4,769,7,7.1,1,1.0,40,7.8,8.8,11.5,192.3,111.3,11,70,6.41,7.28,10.1,,
28,Cam Newton,NWE,qb,62,91,68.1,714,2,2.2,2,2.2,38,7.8,7.3,11.5,238.0,89.7,5,21,7.22,6.70,5.2,,
29,Mitchell Trubisky,CHI,qb,51,86,59.3,560,6,7.0,3,3.5,33,6.5,6.3,11.0,186.7,87.4,7,58,5.40,5.24,7.5,1,1
30,Nick Mullens,SFO,qb,51,73,69.9,614,2,2.7,3,4.1,33,8.4,7.1,12.0,204.7,87.4,8,61,6.83,5.65,9.9,,
31,Nick Foles,CHI,qb,42,71,59.2,437,4,5.6,2,2.8,19,6.2,6.0,10.4,218.5,84.1,1,8,5.96,5.82,1.4,1,1
32,Jeff Driskel,DEN,qb,35,64,54.7,432,3,4.7,2,3.1,18,6.8,6.3,12.3,144.0,78.4,11,98,4.45,4.05,14.7,,
33,Jimmy Garoppolo,SFO,qb,33,49,67.3,390,4,8.2,0,0.0,19,8.0,9.6,11.8,195.0,118.6,4,24,6.91,8.42,7.5,,
34,Brett Rypien,DEN,qb,27,40,67.5,295,2,5.0,4,10.0,12,7.4,3.9,10.9,147.5,66.1,1,0,7.20,3.78,2.4,1,1
35,Drew Lock,DEN,qb,23,38,60.5,236,1,2.6,0,0.0,13,6.2,6.7,10.3,118.0,87.2,1,8,5.85,6.36,2.6,,
36,Tyrod Taylor,LAC,qb,16,30,53.3,208,0,0.0,0,0.0,10,6.9,6.9,13.0,208.0,75.4,2,1,6.47,6.47,6.3,1,1
37,Brian Hoyer,NWE,qb,15,24,62.5,130,0,0.0,1,4.2,8,5.4,3.5,8.7,130.0,59.4,2,18,4.31,2.58,7.7,,
38,C.J. Beathard,SFO,,14,19,73.7,138,0,0.0,0,0.0,9,7.3,7.3,9.9,138.0,93.7,1,9,6.45,6.45,5.0,,
39,Jarrett Stidham,NWE,,5,13,38.5,60,1,7.7,2,15.4,4,4.6,-0.8,12.0,60.0,39.4,0,0,4.62,-0.77,0.0,,
